DATE,BUSLOANS
1947-01-01,11.5246666666666667
1947-04-01,12.2629666666666667
1947-07-01,13.0715000000000000
1947-10-01,13.9112666666666667
1948-01-01,14.5712666666666667
1948-04-01,15.0811666666666667
1948-07-01,15.2101000000000000
1948-10-01,15.0585000000000000
1949-01-01,14.7916333333333333
1949-04-01,14.3330000000000000
1949-07-01,13.9229333333333333
1949-10-01,13.6627000000000000
1950-01-01,13.7993666666666667
1950-04-01,14.2506000000000000
1950-07-01,15.2920666666666667
1950-10-01,16.8085666666666667
1951-01-01,18.1922333333333333
1951-04-01,19.5524666666666667
1951-07-01,20.3652000000000000
1951-10-01,20.7679666666666667
1952-01-01,22.3132666666666667
1952-04-01,22.0399333333333333
1952-07-01,22.4121666666666667
1952-10-01,23.2473333333333333
1953-01-01,23.5965333333333333
1953-04-01,23.8220666666666667
1953-07-01,23.9290333333333333
1953-10-01,23.6737000000000000
1954-01-01,22.9634000000000000
1954-04-01,22.6606666666666667
1954-07-01,22.4539000000000000
1954-10-01,22.6041666666666667
1955-01-01,22.9937666666666667
1955-04-01,23.7303333333333333
1955-07-01,24.9521666666666667
1955-10-01,26.3037000000000000
1956-01-01,27.7863000000000000
1956-04-01,29.7259666666666667
1956-07-01,31.0852666666666667
1956-10-01,32.2078000000000000
1957-01-01,32.8057333333333333
1957-04-01,33.6938000000000000
1957-07-01,34.5061333333333333
1957-10-01,34.2125000000000000
1958-01-01,34.7713000000000000
1958-04-01,34.4270333333333333
1958-07-01,34.3560000000000000
1958-10-01,34.8721000000000000
1959-01-01,35.1878333333333333
1959-04-01,36.3349666666666667
1959-07-01,38.0046666666666667
1959-10-01,38.8007666666666667
1960-01-01,39.8114333333333333
1960-04-01,40.9214000000000000
1960-07-01,41.3737666666666667
1960-10-01,41.7708333333333333
1961-01-01,42.0126333333333333
1961-04-01,42.2662666666666667
1961-07-01,42.6695666666666667
1961-10-01,43.3037333333333333
1962-01-01,43.9851000000000000
1962-04-01,44.9743333333333333
1962-07-01,46.0079333333333333
1962-10-01,47.1620333333333333
1963-01-01,47.8218666666666667
1963-04-01,48.7625333333333333
1963-07-01,49.5885666666666667
1963-10-01,51.2744666666666667
1964-01-01,52.5602333333333333
1964-04-01,53.7557333333333333
1964-07-01,55.1984666666666667
1964-10-01,57.1672333333333333
1965-01-01,60.1530666666666667
1965-04-01,63.0697333333333333
1965-07-01,65.5859666666666667
1965-10-01,67.9872333333333333
1966-01-01,70.7290333333333333
1966-04-01,73.6973333333333333
1966-07-01,77.0882666666666667
1966-10-01,78.4530000000000000
1967-01-01,79.6517000000000000
1967-04-01,81.8267000000000000
1967-07-01,83.6613000000000000
1967-10-01,84.9466333333333333
1968-01-01,86.7543333333333333
1968-04-01,89.1077000000000000
1968-07-01,91.3730333333333333
1968-10-01,94.4963333333333333
1969-01-01,98.2275666666666667
1969-04-01,101.7524333333333333
1969-07-01,103.3933333333333333
1969-10-01,105.3735000000000000
1970-01-01,105.8020000000000000
1970-04-01,106.1747333333333333
1970-07-01,108.5822000000000000
1970-10-01,110.4354000000000000
1971-01-01,111.8102333333333333
1971-04-01,113.1125333333333333
1971-07-01,115.5773000000000000
1971-10-01,117.6248333333333333
1972-01-01,118.9179000000000000
1972-04-01,122.5637000000000000
1972-07-01,125.8824666666666667
1972-10-01,131.2634000000000000
1973-01-01,140.3898000000000000
1973-04-01,150.1098000000000000
1973-07-01,157.3012666666666667
1973-10-01,160.1053333333333333
1974-01-01,165.5371333333333333
1974-04-01,177.5766666666666667
1974-07-01,186.1211000000000000
1974-10-01,190.3036666666666667
1975-01-01,190.0288333333333333
1975-04-01,186.0409666666666667
1975-07-01,183.1337333333333333
1975-10-01,182.8972333333333333
1976-01-01,181.3934000000000000
1976-04-01,178.3367000000000000
1976-07-01,180.0368000000000000
1976-10-01,183.8622000000000000
1977-01-01,187.4511333333333333
1977-04-01,191.8764333333333333
1977-07-01,197.2235666666666667
1977-10-01,202.9572000000000000
1978-01-01,210.3859666666666667
1978-04-01,220.2914333333333333
1978-07-01,228.3630666666666667
1978-10-01,235.3235000000000000
1979-01-01,243.8423000000000000
1979-04-01,258.6591000000000000
1979-07-01,270.9614666666666667
1979-10-01,277.7048333333333333
1980-01-01,285.6358666666666667
1980-04-01,288.5060000000000000
1980-07-01,291.4333000000000000
1980-10-01,306.4566333333333333
1981-01-01,313.3208333333333333
1981-04-01,323.5850000000000000
1981-07-01,335.4985333333333333
1981-10-01,345.6718000000000000
1982-01-01,359.8446000000000000
1982-04-01,375.8676666666666667
1982-07-01,386.9805000000000000
1982-10-01,392.1362333333333333
1983-01-01,393.4489333333333333
1983-04-01,392.5853333333333333
1983-07-01,400.6367000000000000
1983-10-01,409.7688000000000000
1984-01-01,423.3775000000000000
1984-04-01,445.0426666666666667
1984-07-01,458.8360666666666667
1984-10-01,470.2229000000000000
1985-01-01,476.2623666666666667
1985-04-01,480.6747000000000000
1985-07-01,490.4352666666666667
1985-10-01,496.4169333333333333
1986-01-01,502.2152333333333333
1986-04-01,508.9053000000000000
1986-07-01,515.2493666666666667
1986-10-01,526.8954000000000000
1987-01-01,548.0352000000000000
1987-04-01,551.8458333333333333
1987-07-01,556.2731000000000000
1987-10-01,563.5886666666666667
1988-01-01,568.9100333333333333
1988-04-01,583.3911000000000000
1988-07-01,594.6343666666666667
1988-10-01,601.5900333333333333
1989-01-01,613.2888000000000000
1989-04-01,622.5333333333333333
1989-07-01,634.4692666666666667
1989-10-01,638.8875666666666667
1990-01-01,636.8850666666666667
1990-04-01,640.7041000000000000
