DATE,UEMP27OV
1948-01-01,119.6666666666666667
1948-04-01,112.0000000000000000
1948-07-01,120.6666666666666667
1948-10-01,110.0000000000000000
1949-01-01,116.6666666666666667
1949-04-01,200.0000000000000000
1949-07-01,334.3333333333333333
1949-10-01,402.3333333333333333
1950-01-01,408.6666666666666667
1950-04-01,436.0000000000000000
1950-07-01,311.3333333333333333
1950-10-01,252.0000000000000000
1951-01-01,176.6666666666666667
1951-04-01,128.3333333333333333
1951-07-01,120.6666666666666667
1951-10-01,119.0000000000000000
1952-01-01,93.0000000000000000
1952-04-01,89.6666666666666667
1952-07-01,64.3333333333333333
1952-10-01,86.3333333333333333
1953-01-01,84.0000000000000000
1953-04-01,70.3333333333333333
1953-07-01,68.6666666666666667
1953-10-01,91.3333333333333333
1954-01-01,176.6666666666666667
1954-04-01,304.0000000000000000
1954-07-01,393.6666666666666667
1954-10-01,425.3333333333333333
1955-01-01,414.6666666666666667
1955-04-01,363.0000000000000000
1955-07-01,274.0000000000000000
1955-10-01,268.3333333333333333
1956-01-01,256.0000000000000000
1956-04-01,197.3333333333333333
1956-07-01,227.6666666666666667
1956-10-01,247.6666666666666667
1957-01-01,207.0000000000000000
1957-04-01,244.0000000000000000
1957-07-01,235.6666666666666667
1957-10-01,276.6666666666666667
1958-01-01,332.6666666666666667
1958-04-01,596.3333333333333333
1958-07-01,939.0000000000000000
1958-10-01,860.6666666666666667
1959-01-01,738.0000000000000000
1959-04-01,584.6666666666666667
1959-07-01,474.3333333333333333
1959-10-01,463.6666666666666667
1960-01-01,444.6666666666666667
1960-04-01,405.3333333333333333
1960-07-01,425.3333333333333333
1960-10-01,556.6666666666666667
1961-01-01,666.3333333333333333
1961-04-01,863.0000000000000000
1961-07-01,912.0000000000000000
1961-10-01,775.3333333333333333
1962-01-01,665.3333333333333333
1962-04-01,607.6666666666666667
1962-07-01,563.3333333333333333
1962-10-01,485.3333333333333333
1963-01-01,580.0000000000000000
1963-04-01,565.3333333333333333
1963-07-01,542.6666666666666667
1963-10-01,513.6666666666666667
1964-01-01,498.6666666666666667
1964-04-01,494.0000000000000000
1964-07-01,497.0000000000000000
1964-10-01,433.3333333333333333
1965-01-01,386.6666666666666667
1965-04-01,362.6666666666666667
1965-07-01,335.6666666666666667
1965-10-01,313.3333333333333333
1966-01-01,276.0000000000000000
1966-04-01,255.3333333333333333
1966-07-01,205.3333333333333333
1966-10-01,210.3333333333333333
1967-01-01,194.6666666666666667
1967-04-01,159.0000000000000000
1967-07-01,171.0000000000000000
1967-10-01,185.0000000000000000
1968-01-01,182.6666666666666667
1968-04-01,149.0000000000000000
1968-07-01,148.0000000000000000
1968-10-01,141.6666666666666667
1969-01-01,121.3333333333333333
1969-04-01,127.6666666666666667
1969-07-01,146.6666666666666667
1969-10-01,138.0000000000000000
1970-01-01,161.6666666666666667
1970-04-01,219.0000000000000000
1970-07-01,255.3333333333333333
1970-10-01,324.6666666666666667
1971-01-01,443.6666666666666667
1971-04-01,501.0000000000000000
1971-07-01,560.0000000000000000
1971-10-01,585.0000000000000000
1972-01-01,625.3333333333333333
1972-04-01,601.0000000000000000
1972-07-01,534.6666666666666667
1972-10-01,482.3333333333333333
1973-01-01,390.0000000000000000
1973-04-01,338.0000000000000000
1973-07-01,303.6666666666666667
1973-10-01,338.0000000000000000
1974-01-01,332.0000000000000000
1974-04-01,359.0000000000000000
1974-07-01,388.6666666666666667
1974-10-01,455.3333333333333333
1975-01-01,703.6666666666666667
1975-04-01,1119.3333333333333333
1975-07-01,1490.3333333333333333
1975-10-01,1559.6666666666666667
1976-01-01,1524.6666666666666667
1976-04-01,1327.0000000000000000
1976-07-01,1244.6666666666666667
1976-10-01,1281.0000000000000000
1977-01-01,1193.0000000000000000
1977-04-01,1071.6666666666666667
1977-07-01,936.6666666666666667
1977-10-01,889.0000000000000000
1978-01-01,731.3333333333333333
1978-04-01,670.6666666666666667
1978-07-01,631.3333333333333333
1978-10-01,546.3333333333333333
1979-01-01,559.0000000000000000
1979-04-01,530.0000000000000000
1979-07-01,512.0000000000000000
1979-10-01,541.6666666666666667
1980-01-01,559.3333333333333333
1980-04-01,727.6666666666666667
1980-07-01,926.6666666666666667
1980-10-01,1113.3333333333333333
1981-01-01,1241.6666666666666667
1981-04-01,1134.6666666666666667
1981-07-01,1121.3333333333333333
1981-10-01,1149.3333333333333333
1982-01-01,1274.3333333333333333
1982-04-01,1634.0000000000000000
1982-07-01,1900.0000000000000000
1982-10-01,2382.6666666666666667
1983-01-01,2709.6666666666666667
1983-04-01,2781.6666666666666667
1983-07-01,2521.6666666666666667
1983-10-01,2168.3333333333333333
1984-01-01,1884.6666666666666667
1984-04-01,1677.0000000000000000
1984-07-01,1518.6666666666666667
1984-10-01,1414.0000000000000000
1985-01-01,1336.0000000000000000
1985-04-01,1298.0000000000000000
1985-07-01,1240.6666666666666667
1985-10-01,1233.6666666666666667
1986-01-01,1147.6666666666666667
1986-04-01,1207.3333333333333333
1986-07-01,1214.0000000000000000
1986-10-01,1176.3333333333333333
1987-01-01,1124.6666666666666667
1987-04-01,1088.6666666666666667
1987-07-01,1005.6666666666666667
1987-10-01,927.3333333333333333
1988-01-01,868.3333333333333333
1988-04-01,820.3333333333333333
1988-07-01,801.3333333333333333
1988-10-01,736.6666666666666667
1989-01-01,679.0000000000000000
1989-04-01,654.6666666666666667
1989-07-01,593.3333333333333333
1989-10-01,645.3333333333333333
1990-01-01,635.6666666666666667
1990-04-01,644.3333333333333333
1990-07-01,733.0000000000000000
