DATE,IURSA
2014-07-01,1.8923076923076923
2014-10-01,1.8076923076923077
2015-01-01,1.7692307692307692
2015-04-01,1.7000000000000000
2015-07-01,1.7000000000000000
2015-10-01,1.6153846153846154
2016-01-01,1.6000000000000000
2016-04-01,1.6000000000000000
2016-07-01,1.5769230769230769
2016-10-01,1.5000000000000000
2017-01-01,1.4583333333333333
2017-04-01,1.4000000000000000
2017-07-01,1.4000000000000000
2017-10-01,1.3692307692307692
2018-01-01,1.3230769230769231
2018-04-01,1.2307692307692308
2018-07-01,1.2000000000000000
2018-10-01,1.2000000000000000
2019-01-01,1.2000000000000000
2019-04-01,1.2000000000000000
2019-07-01,1.2000000000000000
2019-10-01,1.2000000000000000
2020-01-01,1.5692307692307692
2020-04-01,13.4384615384615385
2020-07-01,9.7923076923076923
2020-10-01,4.4307692307692308
2021-01-01,3.1727272727272727
