DATE,DPCCRC1M027SBEA
1996-01-01,4411.0000000000000000
1996-04-01,4486.5000000000000000
1996-07-01,4545.7666666666666667
1996-10-01,4608.8666666666666667
1997-01-01,4682.4000000000000000
1997-04-01,4730.1000000000000000
1997-07-01,4831.9666666666666667
1997-10-01,4906.7000000000000000
1998-01-01,4982.8333333333333333
1998-04-01,5087.1666666666666667
1998-07-01,5176.2333333333333333
1998-10-01,5283.2666666666666667
1999-01-01,5348.9000000000000000
1999-04-01,5444.5000000000000000
1999-07-01,5527.3000000000000000
1999-10-01,5644.0666666666666667
2000-01-01,5788.2333333333333333
2000-04-01,5852.1000000000000000
2000-07-01,5941.7333333333333333
2000-10-01,6015.6000000000000000
2001-01-01,6083.6666666666666667
2001-04-01,6132.3666666666666667
2001-07-01,6171.1333333333333333
2001-10-01,6309.0333333333333333
2002-01-01,6355.1333333333333333
2002-04-01,6415.6000000000000000
2002-07-01,6494.3666666666666667
2002-10-01,6551.2333333333333333
2003-01-01,6602.4666666666666667
2003-04-01,6707.8000000000000000
2003-07-01,6840.0000000000000000
2003-10-01,6916.6666666666666667
2004-01-01,7023.7000000000000000
2004-04-01,7113.9000000000000000
2004-07-01,7230.4666666666666667
2004-10-01,7348.8666666666666667
2005-01-01,7437.9000000000000000
2005-04-01,7565.4000000000000000
2005-07-01,7670.9333333333333333
2005-10-01,7746.7666666666666667
2006-01-01,7901.2000000000000000
2006-04-01,7985.3333333333333333
2006-07-01,8073.3333333333333333
2006-10-01,8199.0666666666666667
2007-01-01,8301.8333333333333333
2007-04-01,8358.7000000000000000
2007-07-01,8451.5666666666666667
2007-10-01,8541.4000000000000000
2008-01-01,8565.7333333333333333
2008-04-01,8635.4666666666666667
2008-07-01,8635.9333333333333333
2008-10-01,8533.1333333333333333
2009-01-01,8514.0666666666666667
2009-04-01,8512.4000000000000000
2009-07-01,8607.6333333333333333
2009-10-01,8634.1333333333333333
2010-01-01,8706.6666666666666667
2010-04-01,8808.8666666666666667
2010-07-01,8882.2333333333333333
2010-10-01,8965.6000000000000000
2011-01-01,9067.6666666666666667
2011-04-01,9154.0000000000000000
2011-07-01,9234.8333333333333333
2011-10-01,9299.1333333333333333
2012-01-01,9462.4333333333333333
2012-04-01,9492.0666666666666667
2012-07-01,9532.8666666666666667
2012-10-01,9636.9000000000000000
2013-01-01,9711.1000000000000000
2013-04-01,9753.2000000000000000
2013-07-01,9836.5000000000000000
2013-10-01,9959.7333333333333333
2014-01-01,10026.2000000000000000
2014-04-01,10216.6333333333333333
2014-07-01,10384.8333333333333333
2014-10-01,10533.8666666666666667
2015-01-01,10635.0000000000000000
