avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
12.5,,59001.0,.,.,,33.7,86.1,59.1,11.7702,9.2126,14.7712,,1411.0,955.0,431.0,338.0,,,56.1,5.0,.,28.777,18.717,48.501,,
12.2,,59797.0,.,.,,34.1,86.5,59.5,11.9461,9.392,15.2975,,1251.0,953.0,335.0,298.0,,,56.8,4.5,.,,,,,
12.2,,59575.0,.,.,,33.7,86.5,59.2,12.1145,9.5702,15.8075,,1272.0,888.0,350.0,298.0,,,56.6,4.4,.,,,,,
12.3,,59803.0,.,.,,34.3,86.4,59.4,12.2836,9.7462,16.3104,,1262.0,752.0,266.0,279.0,,,56.9,4.2,.,31.581,20.208,53.221,,
10.7,,59697.0,.,.,,34.4,86.3,59.3,12.4544,9.924,16.8092,,1354.0,755.0,247.0,260.0,,,56.9,4.2,.,,,,,
10.7,,59429.0,.,.,,34.0,86.3,59.2,12.6219,10.0998,17.3061,,1459.0,725.0,265.0,217.0,,,56.7,4.3,.,,,,,
10.6,,59636.0,.,.,,34.3,86.0,59.1,12.7791,10.1865,17.7542,,1115.0,687.0,259.0,179.0,,,56.9,3.7,.,26.345,14.668,52.393,,
10.8,,59661.0,.,.,,34.2,86.3,59.1,12.893,10.212,18.1862,,1107.0,608.0,188.0,198.0,,,57.0,3.4,.,,,,,
10.1,,60401.0,.,.,,35.0,86.9,59.8,13.0078,10.2365,18.6363,,1215.0,558.0,202.0,153.0,,,57.7,3.4,.,,,,,
10.6,,59889.0,.,.,,34.4,86.3,59.1,13.1077,10.2624,19.1031,,1160.0,503.0,154.0,140.0,,,57.3,3.1,.,22.589,18.564,44.593,,
9.9,,60188.0,.,.,,34.7,86.6,59.4,13.2035,10.2878,19.5512,,1125.0,490.0,139.0,130.0,,,57.6,3.0,.,,,,,
8.7,,59620.0,.,.,,34.2,86.4,59.0,13.2826,10.3141,20.0031,,1125.0,656.0,143.0,115.0,,,57.1,3.2,.,,,,,
9.2,,60156.0,.,.,,35.2,86.3,59.4,13.3717,10.3536,20.2509,,1183.0,480.0,133.0,127.0,,,57.6,3.1,.,20.778,21.229,40.666,,
9.1,,59994.0,.,.,,34.7,86.5,59.2,13.4661,10.4035,20.3672,,1184.0,522.0,132.0,117.0,,,57.4,3.1,.,,,,,
9.1,,59713.0,.,.,,34.4,86.4,59.1,13.5464,10.4523,20.4775,,1294.0,549.0,105.0,118.0,,,57.1,3.3,.,,,,,
8.9,,60010.0,.,.,,34.8,86.8,59.4,13.6351,10.5007,20.6053,,1279.0,627.0,170.0,99.0,,,57.3,3.5,.,22.592,21.114,43.868,,
9.7,,59836.0,.,.,,34.7,86.5,59.2,13.7262,10.5501,20.7329,,1233.0,630.0,161.0,155.0,,,57.1,3.5,.,,,,,
9.3,,60497.0,.,.,,35.1,86.8,59.6,13.7744,10.5539,20.9657,,1138.0,569.0,166.0,103.0,,,57.7,3.1,.,,,,,
9.3,,60460.0,.,.,,35.0,86.8,59.5,13.6522,10.3998,22.1319,,1066.0,549.0,178.0,104.0,,,57.7,3.2,.,22.062,20.498,41.59,,
8.8,,60462.0,.,.,,34.9,87.0,59.5,13.692,10.4559,22.4316,,1181.0,541.0,160.0,88.0,,,57.7,3.1,.,,,,,
8.4,,59908.0,.,.,,34.1,86.5,58.9,13.7838,10.5458,22.3763,,1150.0,477.0,147.0,87.0,,,57.1,2.9,.,,,,,
9.0,,59909.0,.,.,,34.3,86.3,58.8,13.8904,10.6132,22.138,,1137.0,480.0,124.0,118.0,,,57.1,2.9,.,21.295,19.757,39.667,,
7.8,,60195.0,.,.,,34.7,86.4,59.1,13.9909,10.7961,21.9293,,1179.0,511.0,136.0,83.0,,,57.3,3.0,.,,,,,
7.3,,60219.0,.,.,,34.6,86.4,59.1,14.1335,11.181,22.0525,,1196.0,482.0,142.0,68.0,,,57.3,3.0,.,,,,,
7.5,,59971.0,.,.,,34.4,86.3,58.9,14.1862,11.4008,22.1461,,1187.0,573.0,127.0,67.0,,,57.0,3.2,.,21.59,19.764,39.898,,
7.6,,59790.0,.,.,,34.4,85.9,58.7,14.2762,11.6217,22.3937,,1270.0,584.0,149.0,62.0,,,56.8,3.4,.,,,,,
8.1,,60521.0,.,.,,35.4,85.9,59.2,14.3747,11.7689,22.6967,,1130.0,541.0,185.0,64.0,,,57.4,3.1,.,,,,,
9.1,,60132.0,.,.,,34.6,85.6,58.7,14.4525,12.0587,23.0685,,1050.0,548.0,142.0,88.0,,,56.9,3.0,.,23.752,22.212,43.972,,
9.5,,60748.0,.,.,,35.4,85.6,59.1,14.5314,12.3068,23.4435,,1017.0,493.0,149.0,67.0,,,57.5,2.8,.,,,,,
8.8,,60954.0,.,.,,34.8,86.4,59.2,14.6152,12.5307,23.23,,1044.0,406.0,134.0,104.0,,,57.6,2.7,.,,,,,
9.3,,61600.0,.,.,,35.1,86.5,59.5,14.7509,12.8032,23.4687,,1059.0,469.0,181.0,87.0,,,57.8,2.9,.,24.609,22.056,45.893,,
8.4,,61884.0,.,.,,34.9,86.8,59.5,14.891,13.0765,23.6226,,1068.0,409.0,127.0,81.0,,,58.0,2.6,.,,,,,
8.5,,62010.0,.,.,,35.2,86.8,59.6,14.9713,13.3978,23.6983,,1029.0,445.0,129.0,84.0,,,58.1,2.6,.,,,,,
7.8,,61444.0,.,.,,34.6,86.3,59.1,15.041,13.6752,23.8228,,1131.0,486.0,110.0,70.0,,,57.5,2.7,.,24.658,21.133,46.034,,
