,A072RC1Q156SBEA,BUSLOANS,CE16OV,CIVPART,CONSUMER,CP,DPCCRC1M027SBEA,ECOMPCTSA,GOAI,HDTGPDUSQ163N,IURSA,LES1252881600Q,LNS15000000,M1V,PCE,PSAVERT,RRVRUSQ156N,TDSP,UEMP27OV,UEMPMEAN,UNRATE,W825RC1
1954-01-01,11.3,22.9634000000000000,60291.000000000000,59.0000000000000000,14.3624333333333333,21.923000000000002,,,,,,,,,,,,,176.6666666666666667,9.6000000000000000,5.2666666666666667,
1954-04-01,10.3,22.6606666666666667,59961.666666666667,58.8666666666666667,14.1965333333333333,22.529,,,,,,,,,,,,,304.0000000000000000,11.6000000000000000,5.8000000000000000,
1954-07-01,9.9,22.4539000000000000,59926.000000000000,58.7666666666666667,14.3897666666666667,23.813000000000002,,,,,,,,,,,,,393.6666666666666667,12.7333333333333333,5.9666666666666667,
1954-10-01,9.9,22.6041666666666667,60247.666666666667,58.5000000000000000,14.5987333333333333,25.515,,,,,,,,,,,,,425.3333333333333333,13.3000000000000000,5.3333333333333333,
1955-01-01,9.3,22.9937666666666667,60814.666666666667,58.5000000000000000,14.9864666666666667,28.583000000000002,,,,,,,,,,,,,414.6666666666666667,13.6666666666666667,4.7333333333333333,
1955-04-01,9.5,23.7303333333333333,61643.333333333333,58.8666666666666667,15.7318333333333333,29.064,,,,,,,,,,,,,363.0000000000000000,14.0333333333333333,4.4000000000000000,
1955-07-01,10.0,24.9521666666666667,62753.333333333333,59.5666666666666667,16.4523666666666667,29.843000000000004,,,,,,,,,,,,,274.0000000000000000,12.6000000000000000,4.1000000000000000,
1955-10-01,9.9,26.3037000000000000,63310.666666666667,59.9666666666666667,16.9497000000000000,31.115,,,,,,,,,,,,,268.3333333333333333,11.6000000000000000,4.2333333333333333,
1956-01-01,10.6,27.7863000000000000,63560.666666666667,59.9666666666666667,17.3922000000000000,30.601,,,,,,,,,,,6.2,,256.0000000000000000,11.9333333333333333,4.0333333333333333,
1956-04-01,11.1,29.7259666666666667,63765.000000000000,60.0666666666666667,17.9139666666666667,31.445999999999998,,,,,,,,,,,5.9,,197.3333333333333333,10.5000000000000000,4.2000000000000000,
1956-07-01,11.3,31.0852666666666667,63950.333333333333,60.0333333333333333,18.3695000000000000,30.211,,,,,,,,,,,6.3,,227.6666666666666667,11.4333333333333333,4.1333333333333333,
1956-10-01,11.5,32.2078000000000000,63893.666666666667,59.8000000000000000,18.6948666666666667,31.879,,,,,,,,,,,5.8,,247.6666666666666667,11.3000000000000000,4.1333333333333333,
1957-01-01,11.1,32.8057333333333333,64097.666666666667,59.7333333333333333,18.8500666666666667,32.174,,,,,,,,,,,5.3,,207.0000000000000000,10.6333333333333333,3.9333333333333333,
1957-04-01,11.6,33.6938000000000000,64076.000000000000,59.6000000000000000,19.1591000000000000,30.883000000000003,,,,,,,,,,,5.3,,244.0000000000000000,10.4000000000000000,4.1000000000000000,
1957-07-01,11.4,34.5061333333333333,64206.666666666667,59.6333333333333333,19.5974000000000000,30.274,,,,,,,,,,,5.7,,235.6666666666666667,10.1333333333333333,4.2333333333333333,
1957-10-01,10.7,34.2125000000000000,63879.000000000000,59.5333333333333333,19.9107666666666667,27.921999999999997,,,,,,,,,,,5.8,,276.6666666666666667,10.6333333333333333,4.9333333333333333,
1958-01-01,11.2,34.7713000000000000,62949.666666666667,59.3000000000000000,19.9376333333333333,24.236,,,,,,,,,,,6.3,,332.6666666666666667,10.9000000000000000,6.3000000000000000,
1958-04-01,11.1,34.4270333333333333,62745.000000000000,59.6333333333333333,19.8360666666666667,24.6,,,,,,,,,,,6.5,,596.3333333333333333,13.2000000000000000,7.3666666666666667,
1958-07-01,11.6,34.3560000000000000,62979.333333333333,59.7000000000000000,20.0667666666666667,27.064,,,,,,,,,,,6.3,,939.0000000000000000,15.6000000000000000,7.3333333333333333,
1958-10-01,11.8,34.8721000000000000,63498.000000000000,59.3333333333333333,20.2615333333333333,30.458000000000002,,,,,,,,,,,6.6,,860.6666666666666667,16.2000000000000000,6.3666666666666667,
1959-01-01,10.7,35.1878333333333333,63939.666666666667,59.2000000000000000,20.9658333333333333,32.705999999999996,225.6000000000000000,,,,,,,3.662,309.4666666666666667,10.7333333333333333,6.8,,738.0000000000000000,15.7000000000000000,5.8333333333333333,3.1333333333333333
1959-04-01,10.8,36.3349666666666667,64772.000000000000,59.2666666666666667,21.7313333333333333,35.446,231.4666666666666667,,,,,,,3.719,315.5000000000000000,10.7666666666666667,7.3,,584.6666666666666667,14.8333333333333333,5.1000000000000000,2.7000000000000000
1959-07-01,9.7,38.0046666666666667,64875.000000000000,59.3000000000000000,22.8159333333333333,32.441,235.9666666666666667,,,,,,,3.7089999999999996,320.7333333333333333,9.6666666666666667,7.2,,474.3333333333333333,13.9000000000000000,5.2666666666666667,2.6333333333333333
1959-10-01,10.2,38.8007666666666667,64927.333333333333,59.3333333333333333,23.7921666666666667,31.96,237.2333333333333333,,,,,,,3.7689999999999997,322.8666666666666667,10.1666666666666667,7.0,,463.6666666666666667,13.0333333333333333,5.6000000000000000,2.9333333333333333
1960-01-01,10.3,39.8114333333333333,65213.333333333333,58.9000000000000000,24.4514333333333333,34.614000000000004,240.9000000000000000,,,,,,,3.878,326.3666666666666667,10.3000000000000000,8.0,,444.6666666666666667,13.2000000000000000,5.1333333333333333,2.5666666666666667
1960-04-01,9.7,40.9214000000000000,66061.333333333333,59.5666666666666667,24.9743333333333333,32.312,245.0666666666666667,,,,,,,3.8760000000000003,332.2000000000000000,9.7333333333333333,8.0,,405.3333333333333333,12.1333333333333333,5.2333333333333333,2.8666666666666667
1960-07-01,10.2,41.3737666666666667,66023.666666666667,59.5666666666666667,25.6036333333333333,31.023000000000003,245.3333333333333333,,,,,,,3.872,332.1333333333333333,10.2333333333333333,8.3,,425.3333333333333333,12.5666666666666667,5.5333333333333333,3.2000000000000000
1960-10-01,10.0,41.7708333333333333,65839.666666666667,59.6333333333333333,26.1081333333333333,29.921999999999997,246.5000000000000000,,,,,,,3.8360000000000003,334.0333333333333333,10.0000000000000000,8.4,,556.6666666666666667,13.2666666666666667,6.2666666666666667,3.7000000000000000
1961-01-01,10.9,42.0126333333333333,65738.000000000000,59.6333333333333333,26.8583333333333333,29.223000000000003,246.5333333333333333,,,,,,,3.8510000000000004,334.5333333333333333,10.8666666666666667,8.9,,666.3333333333333333,13.8000000000000000,6.8000000000000000,4.1666666666666667
1961-04-01,10.9,42.2662666666666667,65605.333333333333,59.4666666666666667,27.0468666666666667,30.671,250.8000000000000000,,,,,,,3.8960000000000004,339.4666666666666667,10.9666666666666667,8.8,,863.0000000000000000,15.7666666666666667,7.0000000000000000,5.2666666666666667
1961-07-01,11.7,42.6695666666666667,65667.000000000000,59.2000000000000000,27.1965666666666667,32.317,254.1333333333333333,,,,,,,3.9589999999999996,342.3666666666666667,11.6666666666666667,8.6,,912.0000000000000000,16.8000000000000000,6.7666666666666667,4.4333333333333333
1961-10-01,11.6,43.3037333333333333,65966.666666666667,59.0000000000000000,27.4570666666666667,34.595,261.0666666666666667,,,,,,,4.012,349.6000000000000000,11.6333333333333333,8.5,,775.3333333333333333,16.2333333333333333,6.2000000000000000,3.7333333333333333
1962-01-01,11.6,43.9851000000000000,66379.666666666667,58.9000000000000000,28.0721000000000000,35.196,265.1333333333333333,,,,,,,4.079,354.8666666666666667,11.5666666666666667,8.5,,665.3333333333333333,15.4333333333333333,5.6333333333333333,3.5333333333333333
1962-04-01,11.4,44.9743333333333333,66576.666666666667,58.8000000000000000,28.7397333333333333,35.166,270.5333333333333333,,,,,,,4.095,360.4666666666666667,11.4333333333333333,8.1,,607.6666666666666667,15.1666666666666667,5.5333333333333333,3.1666666666666667
1962-07-01,11.1,46.0079333333333333,66881.000000000000,58.8333333333333333,29.5096333333333333,36.205,273.7000000000000000,,,,,,,4.158,364.3666666666666667,11.1333333333333333,8.0,,563.3333333333333333,14.4000000000000000,5.5666666666666667,3.0333333333333333
1962-10-01,10.7,47.1620333333333333,66969.333333333333,58.5333333333333333,30.0838666666666667,37.066,279.0666666666666667,,,,,,,4.158,370.6000000000000000,10.6666666666666667,8.1,,485.3333333333333333,13.6666666666666667,5.5333333333333333,3.0666666666666667
1963-01-01,10.8,47.8218666666666667,67149.000000000000,58.6000000000000000,30.8974666666666667,36.708,281.8666666666666667,,,,,,,4.178,374.2666666666666667,10.7333333333333333,8.0,,580.0000000000000000,14.1333333333333333,5.7666666666666667,3.1666666666666667
