DATE,UEMPLT5,UEMP5TO14,UEMP15T26,UEMP27OV
2013-03-01,2462,2826,1830,4563
2013-04-01,2487,2908,1953,4468
2013-05-01,2674,2631,1986,4347
2013-06-01,2680,2851,1876,4355
2013-07-01,2493,2768,1791,4258
2013-08-01,2475,2688,1677,4296
2013-09-01,2604,2691,1797,4132
2013-10-01,2823,2639,1737,4024
2013-11-01,2409,2586,1695,4042
2013-12-01,2328,2545,1676,3863
2014-01-01,2473,2431,1696,3607
2014-02-01,2376,2590,1621,3783
2014-03-01,2433,2561,1711,3704
2014-04-01,2424,2377,1502,3479
2014-05-01,2586,2357,1425,3360
2014-06-01,2417,2427,1503,3116
2014-07-01,2601,2412,1477,3136
2014-08-01,2620,2389,1506,2958
2014-09-01,2365,2560,1438,2948
2014-10-01,2494,2300,1400,2892
2014-11-01,2474,2403,1400,2828
2014-12-01,2370,2320,1270,2799
2015-01-01,2393,2319,1377,2774
2015-02-01,2392,2238,1333,2658
2015-03-01,2444,2304,1245,2542
2015-04-01,2716,2345,1091,2560
2015-05-01,2471,2510,1256,2503
2015-06-01,2309,2396,1398,2162
2015-07-01,2574,2222,1261,2127
2015-08-01,2073,2329,1283,2172
2015-09-01,2364,2274,1234,2097
2015-10-01,2372,2277,1212,2130
2015-11-01,2382,2296,1273,2074
2015-12-01,2399,2191,1232,2127
2016-01-01,2166,2290,1136,2081
2016-02-01,2235,2187,1163,2150
2016-03-01,2419,2168,1148,2231
2016-04-01,2594,2132,1209,2147
2016-05-01,2264,2264,1096,1925
2016-06-01,2396,2195,1117,1986
2016-07-01,2203,2282,1222,1943
2016-08-01,2285,2352,1094,1970
2016-09-01,2600,2288,1184,1933
2016-10-01,2434,2273,1190,1946
2016-11-01,2404,2163,1108,1865
2016-12-01,2354,2117,1241,1860
2017-01-01,2420,2067,1188,1842
2017-02-01,2493,2097,1043,1785
2017-03-01,2321,2053,1057,1691
2017-04-01,2375,2074,1021,1709
2017-05-01,2125,1986,1084,1706
2017-06-01,2267,1973,914,1669
2017-07-01,2096,2011,1024,1716
2017-08-01,2188,2057,1087,1709
2017-09-01,2270,1948,1000,1700
2017-10-01,2167,1957,893,1603
2017-11-01,2268,1913,971,1593
2017-12-01,2252,1953,933,1506
2018-01-01,2257,1910,957,1437
2018-02-01,2465,1841,907,1421
2018-03-01,2305,1987,857,1352
2018-04-01,2191,1965,968,1382
2018-05-01,1976,1958,929,1227
2018-06-01,2217,1905,859,1425
2018-07-01,1989,1783,991,1393
2018-08-01,2189,1731,961,1302
2018-09-01,2082,1786,908,1354
2018-10-01,2069,1852,886,1341
2018-11-01,2147,1824,871,1251
2018-12-01,2154,1969,924,1302
2019-01-01,2358,2006,892,1260
2019-02-01,2236,1730,914,1292
2019-03-01,2171,1795,902,1324
2019-04-01,1986,1847,799,1300
2019-05-01,2117,1654,747,1335
2019-06-01,1846,1878,782,1381
2019-07-01,2139,1775,939,1146
2019-08-01,2235,1750,862,1228
2019-09-01,1857,1818,861,1297
2019-10-01,1954,1778,927,1235
2019-11-01,2037,1744,881,1204
2019-12-01,2098,1682,821,1177
2020-01-01,2071,1752,881,1163
2020-02-01,2082,1753,817,1111
2020-03-01,3424,1785,784,1188
2020-04-01,14282,6992,763,1004
2020-05-01,3875,14804,997,1203
2020-06-01,2853,11544,1907,1358
2020-07-01,3188,5175,6488,1483
2020-08-01,2312,3213,6536,1593
2020-09-01,2552,2754,4934,2405
2020-10-01,2494,2341,2651,3534
2020-11-01,2455,2404,1875,3929
2020-12-01,2904,2222,1572,3956
2021-01-01,2278,2528,1346,4023
2021-02-01,2185,2254,1407,4148
