DATE,target_leisure_hospitality
1972-03,5057
1972-04,5074
1972-05,5088
1972-06,5114
1972-07,5123
1972-08,5145
1972-09,5144
1972-10,5182
1972-11,5216
1972-12,5240
1973-01,5263
1973-02,5282
1973-03,5303
1973-04,5313
1973-05,5326
1973-06,5334
1973-07,5331
1973-08,5347
1973-09,5363
1973-10,5388
1973-11,5419
1973-12,5410
1974-01,5410
1974-02,5415
1974-03,5426
1974-04,5442
1974-05,5465
1974-06,5473
1974-07,5492
1974-08,5494
1974-09,5506
1974-10,5530
1974-11,5514
1974-12,5483
1975-01,5476
1975-02,5484
1975-03,5488
1975-04,5472
1975-05,5502
1975-06,5524
1975-07,5552
1975-08,5585
1975-09,5580
1975-10,5602
1975-11,5614
1975-12,5641
1976-01,5681
1976-02,5718
1976-03,5736
1976-04,5767
1976-05,5781
1976-06,5787
1976-07,5804
1976-08,5827
1976-09,5839
1976-10,5849
1976-11,5860
1976-12,5879
1977-01,5911
1977-02,5930
1977-03,5969
1977-04,5992
1977-05,6020
1977-06,6050
1977-07,6073
1977-08,6103
1977-09,6136
1977-10,6164
1977-11,6198
1977-12,6231
1978-01,6251
1978-02,6272
1978-03,6308
1978-04,6340
1978-05,6376
1978-06,6413
1978-07,6438
1978-08,6459
1978-09,6477
1978-10,6502
1978-11,6532
1978-12,6551
1979-01,6571
1979-02,6592
1979-03,6620
1979-04,6614
1979-05,6621
1979-06,6623
1979-07,6608
1979-08,6617
1979-09,6639
1979-10,6674
1979-11,6693
1979-12,6702
1980-01,6713
1980-02,6731
1980-03,6743
1980-04,6708
1980-05,6700
1980-06,6693
1980-07,6693
1980-08,6704
1980-09,6717
1980-10,6730
1980-11,6745
1980-12,6765
1981-01,6780
1981-02,6801
1981-03,6811
1981-04,6833
1981-05,6842
1981-06,6852
1981-07,6857
1981-08,6867
1981-09,6870
1981-10,6867
1981-11,6852
1981-12,6843
1982-01,6839
1982-02,6852
1982-03,6856
1982-04,6859
1982-05,6877
1982-06,6882
1982-07,6887
1982-08,6888
1982-09,6885
1982-10,6882
1982-11,6882
1982-12,6895
1983-01,6920
1983-02,6927
1983-03,6959
1983-04,6986
1983-05,7011
1983-06,7048
1983-07,7092
1983-08,7126
1983-09,7164
1983-10,7192
1983-11,7226
1983-12,7265
1984-01,7309
1984-02,7349
1984-03,7372
1984-04,7406
1984-05,7428
1984-06,7465
1984-07,7496
1984-08,7508
1984-09,7559
1984-10,7606
1984-11,7674
1984-12,7682
