DATE,CONSUMER
1947-01-01,4.2961333333333333
1947-04-01,4.7079666666666667
1947-07-01,5.1155666666666667
1947-10-01,5.5139000000000000
1948-01-01,5.9029333333333333
1948-04-01,6.2822666666666667
1948-07-01,6.5748000000000000
1948-10-01,6.7909333333333333
1949-01-01,6.9909666666666667
1949-04-01,7.1772000000000000
1949-07-01,7.4858333333333333
1949-10-01,7.8946666666666667
1950-01-01,8.3568666666666667
1950-04-01,8.8659666666666667
1950-07-01,9.3916000000000000
1950-10-01,9.9233333333333333
1951-01-01,10.2116666666666667
1951-04-01,10.2881000000000000
1951-07-01,10.4031333333333333
1951-10-01,10.5349000000000000
1952-01-01,10.4671666666666667
1952-04-01,10.8634333333333333
1952-07-01,11.5971333333333333
1952-10-01,12.2987333333333333
1953-01-01,13.0925000000000000
1953-04-01,13.8603666666666667
1953-07-01,14.1852000000000000
1953-10-01,14.4143333333333333
1954-01-01,14.3624333333333333
1954-04-01,14.1965333333333333
1954-07-01,14.3897666666666667
1954-10-01,14.5987333333333333
1955-01-01,14.9864666666666667
1955-04-01,15.7318333333333333
1955-07-01,16.4523666666666667
1955-10-01,16.9497000000000000
1956-01-01,17.3922000000000000
1956-04-01,17.9139666666666667
1956-07-01,18.3695000000000000
1956-10-01,18.6948666666666667
1957-01-01,18.8500666666666667
1957-04-01,19.1591000000000000
1957-07-01,19.5974000000000000
1957-10-01,19.9107666666666667
1958-01-01,19.9376333333333333
1958-04-01,19.8360666666666667
1958-07-01,20.0667666666666667
1958-10-01,20.2615333333333333
1959-01-01,20.9658333333333333
1959-04-01,21.7313333333333333
1959-07-01,22.8159333333333333
1959-10-01,23.7921666666666667
1960-01-01,24.4514333333333333
1960-04-01,24.9743333333333333
1960-07-01,25.6036333333333333
1960-10-01,26.1081333333333333
1961-01-01,26.8583333333333333
1961-04-01,27.0468666666666667
1961-07-01,27.1965666666666667
1961-10-01,27.4570666666666667
1962-01-01,28.0721000000000000
1962-04-01,28.7397333333333333
1962-07-01,29.5096333333333333
1962-10-01,30.0838666666666667
1963-01-01,30.8974666666666667
1963-04-01,31.8292333333333333
1963-07-01,32.4858000000000000
1963-10-01,33.9775666666666667
1964-01-01,35.0662000000000000
1964-04-01,36.3451666666666667
1964-07-01,37.9031000000000000
1964-10-01,39.1457000000000000
1965-01-01,40.3138666666666667
1965-04-01,41.7435333333333333
1965-07-01,43.4084000000000000
1965-10-01,44.7335000000000000
1966-01-01,45.8020000000000000
1966-04-01,46.8170666666666667
1966-07-01,47.5194000000000000
1966-10-01,47.6790666666666667
1967-01-01,48.0320666666666667
1967-04-01,48.6688666666666667
1967-07-01,49.7743666666666667
1967-10-01,50.8805333333333333
1968-01-01,52.0351666666666667
1968-04-01,53.3393000000000000
1968-07-01,54.9857000000000000
1968-10-01,57.0940666666666667
1969-01-01,58.8037333333333333
1969-04-01,60.4308333333333333
1969-07-01,61.3686000000000000
1969-10-01,62.2476000000000000
1970-01-01,63.0189333333333333
1970-04-01,63.3830333333333333
1970-07-01,64.2833000000000000
1970-10-01,64.9603666666666667
1971-01-01,65.9912000000000000
1971-04-01,67.9217333333333333
1971-07-01,69.9823000000000000
1971-10-01,72.4106333333333333
1972-01-01,75.0112666666666667
1972-04-01,78.0405000000000000
1972-07-01,81.3227666666666667
1972-10-01,84.4739666666666667
1973-01-01,88.1972000000000000
1973-04-01,92.1784000000000000
1973-07-01,95.2052333333333333
1973-10-01,97.6384666666666667
1974-01-01,99.6805333333333333
1974-04-01,101.3550000000000000
1974-07-01,102.2664666666666667
1974-10-01,102.3117666666666667
1975-01-01,101.9637333333333333
1975-04-01,101.2297000000000000
1975-07-01,101.6759000000000000
1975-10-01,103.5973000000000000
1976-01-01,105.9023000000000000
1976-04-01,108.5409333333333333
1976-07-01,111.4989333333333333
1976-10-01,114.7614333333333333
1977-01-01,119.0957000000000000
1977-04-01,124.6545000000000000
1977-07-01,130.2926000000000000
1977-10-01,136.0005333333333333
1978-01-01,141.9880666666666667
1978-04-01,149.0853000000000000
1978-07-01,157.4514000000000000
1978-10-01,163.5114333333333333
1979-01-01,166.6700666666666667
1979-04-01,174.4601666666666667
1979-07-01,180.5777333333333333
1979-10-01,183.5204666666666667
1980-01-01,185.7307000000000000
1980-04-01,181.9422666666666667
1980-07-01,178.8287000000000000
1980-10-01,178.6418666666666667
1981-01-01,179.2435000000000000
1981-04-01,180.4690000000000000
1981-07-01,181.6364333333333333
1981-10-01,182.0696666666666667
1982-01-01,182.8620666666666667
1982-04-01,184.6819000000000000
1982-07-01,185.8655333333333333
1982-10-01,187.0389333333333333
1983-01-01,188.4186666666666667
1983-04-01,192.2664333333333333
1983-07-01,199.7561000000000000
1983-10-01,209.7770000000000000
1984-01-01,218.3678000000000000
1984-04-01,229.3560666666666667
1984-07-01,239.5278000000000000
1984-10-01,249.6665000000000000
1985-01-01,261.8378333333333333
1985-04-01,270.6568000000000000
1985-07-01,281.1479000000000000
1985-10-01,289.2999333333333333
1986-01-01,294.9708666666666667
1986-04-01,300.1363666666666667
1986-07-01,307.1667666666666667
1986-10-01,313.1069000000000000
1987-01-01,315.5651000000000000
1987-04-01,316.6945333333333333
1987-07-01,319.3985666666666667
1987-10-01,325.4031333333333333
1988-01-01,332.9974666666666667
1988-04-01,341.3560000000000000
1988-07-01,347.2028666666666667
1988-10-01,353.1923000000000000
1989-01-01,357.6634333333333333
1989-04-01,362.2660666666666667
1989-07-01,366.8978666666666667
1989-10-01,372.1818333333333333
1990-01-01,375.9831333333333333
1990-04-01,375.2095333333333333
