DATE,W825RC1
2002-07-01,56.9333333333333333
2002-10-01,53.7000000000000000
2003-01-01,51.7666666666666667
2003-04-01,55.2333333333333333
2003-07-01,54.2333333333333333
2003-10-01,51.4666666666666667
2004-01-01,42.2333333333333333
2004-04-01,35.8666666666666667
2004-07-01,34.7000000000000000
2004-10-01,32.9000000000000000
2005-01-01,32.0666666666666667
2005-04-01,30.9000000000000000
2005-07-01,31.5333333333333333
2005-10-01,32.5666666666666667
2006-01-01,30.3000000000000000
2006-04-01,29.5000000000000000
2006-07-01,30.5666666666666667
2006-10-01,31.1000000000000000
2007-01-01,32.2666666666666667
2007-04-01,31.8333333333333333
2007-07-01,32.8333333333333333
2007-10-01,34.0333333333333333
2008-01-01,36.3000000000000000
2008-04-01,38.2333333333333333
2008-07-01,58.2000000000000000
2008-10-01,71.8666666666666667
2009-01-01,101.5666666666666667
2009-04-01,130.3333333333333333
2009-07-01,144.4000000000000000
2009-10-01,148.5666666666666667
2010-01-01,159.3333333333333333
2010-04-01,141.2000000000000000
2010-07-01,131.0333333333333333
2010-10-01,123.8666666666666667
2011-01-01,116.6666666666666667
2011-04-01,109.2666666666666667
2011-07-01,102.9333333333333333
2011-10-01,99.7666666666666667
2012-01-01,94.6333333333333333
2012-04-01,86.2333333333333333
2012-07-01,78.4666666666666667
2012-10-01,75.1333333333333333
2013-01-01,69.0000000000000000
2013-04-01,64.7666666666666667
2013-07-01,59.1000000000000000
2013-10-01,57.1666666666666667
2014-01-01,39.0000000000000000
2014-04-01,35.8000000000000000
2014-07-01,34.0333333333333333
2014-10-01,33.0000000000000000
2015-01-01,32.9000000000000000
2015-04-01,32.4000000000000000
2015-07-01,32.5000000000000000
2015-10-01,32.4000000000000000
2016-01-01,32.5333333333333333
2016-04-01,32.5666666666666667
2016-07-01,32.3666666666666667
2016-10-01,31.5000000000000000
2017-01-01,30.9000000000000000
2017-04-01,30.2000000000000000
2017-07-01,30.3000000000000000
2017-10-01,29.8333333333333333
2018-01-01,29.2333333333333333
2018-04-01,27.9000000000000000
2018-07-01,27.4000000000000000
2018-10-01,27.0333333333333333
2019-01-01,28.0333333333333333
2019-04-01,27.4666666666666667
2019-07-01,27.6000000000000000
2019-10-01,27.9000000000000000
2020-01-01,43.4333333333333333
2020-04-01,1084.5666666666666667
2020-07-01,775.1333333333333333
2020-10-01,296.4666666666666667
2021-01-01,.
