DATE,W825RC1
1959-01-01,3.1333333333333333
1959-04-01,2.7000000000000000
1959-07-01,2.6333333333333333
1959-10-01,2.9333333333333333
1960-01-01,2.5666666666666667
1960-04-01,2.8666666666666667
1960-07-01,3.2000000000000000
1960-10-01,3.7000000000000000
1961-01-01,4.1666666666666667
1961-04-01,5.2666666666666667
1961-07-01,4.4333333333333333
1961-10-01,3.7333333333333333
1962-01-01,3.5333333333333333
1962-04-01,3.1666666666666667
1962-07-01,3.0333333333333333
1962-10-01,3.0666666666666667
1963-01-01,3.1666666666666667
1963-04-01,3.1000000000000000
1963-07-01,3.0000000000000000
1963-10-01,3.0000000000000000
1964-01-01,2.8666666666666667
1964-04-01,2.9000000000000000
1964-07-01,2.7333333333333333
1964-10-01,2.6333333333333333
1965-01-01,2.5000000000000000
1965-04-01,2.4333333333333333
1965-07-01,2.3000000000000000
1965-10-01,2.2333333333333333
1966-01-01,2.0333333333333333
1966-04-01,1.8000000000000000
1966-07-01,1.9000000000000000
1966-10-01,1.8666666666666667
1967-01-01,2.1000000000000000
1967-04-01,2.3000000000000000
1967-07-01,2.3333333333333333
1967-10-01,2.2000000000000000
1968-01-01,2.3000000000000000
1968-04-01,2.1000000000000000
1968-07-01,2.2333333333333333
1968-10-01,2.2000000000000000
1969-01-01,2.3000000000000000
1969-04-01,2.2000000000000000
1969-07-01,2.3333333333333333
1969-10-01,2.5000000000000000
1970-01-01,2.8666666666666667
1970-04-01,3.9000000000000000
1970-07-01,4.5333333333333333
1970-10-01,5.4000000000000000
1971-01-01,5.7333333333333333
1971-04-01,6.3000000000000000
1971-07-01,6.3333333333333333
1971-10-01,6.3666666666666667
1972-01-01,6.5666666666666667
1972-04-01,6.8666666666666667
1972-07-01,5.7666666666666667
1972-10-01,5.0000000000000000
1973-01-01,4.5666666666666667
1973-04-01,4.4333333333333333
1973-07-01,4.5000000000000000
1973-10-01,4.7666666666666667
1974-01-01,5.8666666666666667
1974-04-01,6.7000000000000000
1974-07-01,6.9333333333333333
1974-10-01,8.6333333333333333
1975-01-01,14.1666666666666667
1975-04-01,19.4000000000000000
1975-07-01,20.2000000000000000
1975-10-01,18.8666666666666667
1976-01-01,17.6666666666666667
1976-04-01,16.2666666666666667
1976-07-01,16.1000000000000000
1976-10-01,15.5000000000000000
1977-01-01,15.5000000000000000
1977-04-01,13.3000000000000000
1977-07-01,11.9000000000000000
1977-10-01,11.8333333333333333
1978-01-01,10.7666666666666667
1978-04-01,9.4000000000000000
1978-07-01,9.0666666666666667
1978-10-01,8.5000000000000000
1979-01-01,9.4000000000000000
1979-04-01,9.2333333333333333
1979-07-01,9.6666666666666667
1979-10-01,10.5666666666666667
1980-01-01,11.9666666666666667
1980-04-01,15.6666666666666667
1980-07-01,18.9666666666666667
1980-10-01,17.8333333333333333
1981-01-01,16.4333333333333333
1981-04-01,15.5000000000000000
1981-07-01,14.9333333333333333
1981-10-01,16.6333333333333333
1982-01-01,19.1333333333333333
1982-04-01,23.9000000000000000
1982-07-01,26.1000000000000000
1982-10-01,31.8000000000000000
1983-01-01,30.2666666666666667
1983-04-01,32.1000000000000000
1983-07-01,23.3333333333333333
1983-10-01,19.9333333333333333
1984-01-01,17.2333333333333333
1984-04-01,15.6666666666666667
1984-07-01,15.1333333333333333
1984-10-01,15.9000000000000000
1985-01-01,16.9000000000000000
1985-04-01,15.9333333333333333
1985-07-01,15.0000000000000000
1985-10-01,15.6333333333333333
1986-01-01,15.6000000000000000
1986-04-01,16.4000000000000000
1986-07-01,16.9333333333333333
1986-10-01,16.8666666666666667
1987-01-01,15.4333333333333333
1987-04-01,15.1000000000000000
1987-07-01,14.4333333333333333
1987-10-01,13.5000000000000000
1988-01-01,13.9000000000000000
1988-04-01,13.2000000000000000
1988-07-01,13.2666666666666667
1988-10-01,13.0333333333333333
1989-01-01,13.5333333333333333
1989-04-01,13.7333333333333333
1989-07-01,14.6333333333333333
1989-10-01,15.7333333333333333
1990-01-01,16.4333333333333333
1990-04-01,17.1000000000000000
1990-07-01,18.2000000000000000
1990-10-01,21.0000000000000000
1991-01-01,24.3000000000000000
1991-04-01,27.4666666666666667
1991-07-01,25.9333333333333333
1991-10-01,29.3333333333333333
1992-01-01,39.7000000000000000
1992-04-01,41.2000000000000000
1992-07-01,39.6000000000000000
1992-10-01,37.9666666666666667
1993-01-01,35.0666666666666667
1993-04-01,35.5666666666666667
1993-07-01,35.5666666666666667
1993-10-01,33.2333333333333333
1994-01-01,27.9666666666666667
1994-04-01,24.4666666666666667
1994-07-01,22.0666666666666667
1994-10-01,21.3000000000000000
1995-01-01,20.9000000000000000
1995-04-01,21.5666666666666667
1995-07-01,21.9666666666666667
1995-10-01,22.4666666666666667
1996-01-01,23.0000000000000000
1996-04-01,22.7333333333333333
1996-07-01,21.6333333333333333
1996-10-01,21.7000000000000000
1997-01-01,20.9666666666666667
1997-04-01,20.3666666666666667
1997-07-01,19.6666666666666667
1997-10-01,19.4333333333333333
1998-01-01,19.4000000000000000
1998-04-01,19.3000000000000000
1998-07-01,20.2666666666666667
1998-10-01,19.8000000000000000
1999-01-01,20.8000000000000000
1999-04-01,20.8666666666666667
1999-07-01,20.3333333333333333
1999-10-01,20.0000000000000000
2000-01-01,20.5666666666666667
2000-04-01,19.9666666666666667
2000-07-01,20.5666666666666667
2000-10-01,21.8333333333333333
2001-01-01,25.4666666666666667
2001-04-01,28.4000000000000000
2001-07-01,33.1333333333333333
2001-10-01,40.6666666666666667
2002-01-01,42.8333333333333333
2002-04-01,60.5000000000000000
