DATE,target_retail,target_mining_logging,target_construction,target_edu_health,target_manufacturing,target_prof_business,target_gov,target_leisure_hospitality
2012-10,14869.0,837,5674,20881,11961,18139,21903,13883
2012-11,14944.7,843,5684,20887,11950,18193,21883,13910
2012-12,14913.8,848,5724,20935,11960,18230,21887,13978
2013-01,14936.3,851,5746,20956,11983,18273,21869,14037
2013-02,14951.4,858,5784,20958,11996,18367,21881,14082
2013-03,14949.1,859,5802,21007,11999,18421,21870,14113
2013-04,14968.2,857,5796,21054,12000,18483,21869,14152
2013-05,15002.0,862,5829,21071,12000,18537,21864,14193
2013-06,15048.5,865,5855,21070,12004,18582,21840,14252
2013-07,15089.7,862,5859,21074,11984,18629,21815,14288
2013-08,15129.5,864,5878,21143,12014,18655,21831,14327
2013-09,15162.7,868,5910,21133,12032,18683,21835,14339
2013-10,15196.3,870,5931,21158,12056,18732,21830,14395
2013-11,15212.3,869,5963,21194,12079,18801,21843,14432
2013-12,15287.7,866,5932,21196,12083,18790,21820,14454
2014-01,15262.9,871,5985,21228,12081,18837,21814,14489
2014-02,15243.7,875,6007,21251,12106,18899,21825,14509
2014-03,15248.1,879,6038,21294,12120,18944,21833,14564
2014-04,15303.0,886,6084,21321,12134,19002,21853,14614
2014-05,15322.9,887,6109,21364,12146,19044,21832,14670
2014-06,15351.8,892,6133,21410,12170,19105,21895,14693
2014-07,15374.9,897,6178,21453,12189,19142,21901,14703
2014-08,15386.2,898,6210,21491,12208,19201,21855,14725
2014-09,15418.9,903,6242,21543,12226,19257,21897,14768
2014-10,15469.7,901,6259,21573,12259,19285,21917,14811
2014-11,15502.9,900,6272,21626,12284,19339,21932,14849
2014-12,15510.5,896,6293,21678,12292,19418,21947,14892
2015-01,15520.2,888,6320,21741,12292,19442,21960,14915
2015-02,15535.1,875,6361,21789,12301,19487,21978,14972
2015-03,15547.7,859,6334,21832,12312,19513,21970,14981
2015-04,15566.9,843,6392,21906,12318,19557,22005,15023
2015-05,15595.9,820,6427,21958,12333,19638,22012,15103
2015-06,15618.7,816,6441,21998,12334,19689,22015,15108
2015-07,15639.0,805,6472,22053,12349,19726,22050,15168
2015-08,15637.7,794,6490,22094,12345,19755,22060,15201
2015-09,15642.9,779,6508,22131,12354,19778,22040,15279
2015-10,15675.4,771,6547,22215,12362,19851,22056,15316
2015-11,15695.0,756,6598,22260,12357,19885,22081,15374
2015-12,15699.0,746,6630,22323,12362,19955,22097,15406
2016-01,15723.6,732,6631,22335,12383,19965,22114,15454
2016-02,15772.1,711,6640,22403,12365,19977,22138,15494
2016-03,15811.2,691,6678,22450,12342,19999,22178,15535
2016-04,15811.8,677,6702,22505,12353,20031,22184,15562
2016-05,15817.8,666,6689,22565,12332,20035,22199,15583
2016-06,15846.8,656,6701,22618,12350,20080,22180,15639
2016-07,15865.9,651,6735,22666,12372,20126,22289,15679
2016-08,15877.3,647,6736,22719,12348,20127,22284,15725
2016-09,15883.3,645,6768,22775,12347,20194,22323,15785
2016-10,15890.7,644,6799,22835,12345,20217,22295,15780
2016-11,15857.2,647,6823,22870,12342,20255,22277,15826
2016-12,15882.7,649,6818,22929,12355,20287,22304,15845
2017-01,15920.0,649,6839,22938,12367,20338,22308,15867
2017-02,15877.9,656,6886,23012,12382,20339,22320,15905
2017-03,15862.0,659,6907,23048,12393,20376,22325,15919
2017-04,15854.3,668,6917,23101,12405,20405,22338,15988
2017-05,15829.8,673,6926,23137,12406,20460,22334,16021
2017-06,15835.3,677,6954,23162,12418,20496,22343,16063
2017-07,15830.3,679,6958,23224,12419,20540,22363,16129
2017-08,15822.8,684,6989,23269,12460,20563,22371,16139
2017-09,15814.8,685,7003,23296,12470,20565,22386,16090
2017-10,15816.7,687,7029,23324,12491,20619,22374,16158
2017-11,15812.3,692,7072,23366,12510,20646,22389,16175
2017-12,15806.0,693,7104,23391,12539,20684,22395,16192
2018-01,15783.5,699,7107,23436,12559,20743,22364,16188
2018-02,15818.1,706,7194,23489,12589,20779,22397,16213
2018-03,15832.1,714,7203,23520,12610,20822,22403,16215
2018-04,15831.3,721,7224,23537,12636,20867,22420,16217
2018-05,15841.9,724,7263,23574,12657,20911,22432,16262
2018-06,15803.2,730,7279,23614,12686,20946,22457,16308
2018-07,15792.9,730,7303,23641,12707,20966,22464,16344
2018-08,15783.7,737,7332,23695,12719,21005,22485,16348
2018-09,15741.8,739,7355,23722,12740,21041,22494,16329
2018-10,15711.3,742,7379,23769,12764,21078,22494,16363
2018-11,15723.0,736,7386,23781,12779,21099,22477,16371
2018-12,15705.3,742,7416,23855,12802,21128,22516,16418
2019-01,15693.5,746,7446,23899,12828,21134,22517,16496
2019-02,15663.7,741,7415,23914,12830,21165,22497,16466
2019-03,15641.2,740,7439,23978,12826,21173,22524,16488
2019-04,15623.3,737,7471,24041,12825,21212,22563,16507
2019-05,15608.4,738,7478,24074,12817,21230,22556,16514
2019-06,15598.4,734,7499,24119,12822,21261,22562,16524
2019-07,15595.4,727,7503,24184,12820,21291,22607,16535
2019-08,15576.1,719,7506,24246,12820,21320,22663,16580
2019-09,15584.5,718,7524,24305,12814,21340,22690,16648
2019-10,15608.4,719,7544,24340,12769,21374,22692,16727
2019-11,15576.0,707,7546,24406,12818,21405,22716,16769
2019-12,15619.1,694,7557,24433,12809,21410,22729,16811
2020-01,15605.2,689,7615,24513,12792,21437,22789,16858
2020-02,15609.8,690,7648,24565,12799,21469,22835,16915
2020-03,15483.6,674,7557,24347,12718,21318,22774,16133
2020-04,13235.3,622,6535,21722,11414,19082,21826,8691
2020-05,13644.1,601,7004,22107,11657,19247,21314,10146
2020-06,14502.8,597,7171,22671,11999,19568,21353,12158
2020-07,14742.9,593,7197,22885,12037,19715,21556,12824
2020-08,14995.8,589,7223,23084,12068,19915,22073,12963
2020-09,15025.3,592,7256,23152,12123,20055,21857,13357
2020-10,15131.8,594,7329,23235,12155,20296,21583,13622
2020-11,15129.7,597,7353,23278,12196,20391,21488,13632
2020-12,15159.8,597,7400,23249,12231,20550,21456,13134
2021-01,15206.1,597,7401,23223,12217,20635,21532,13109
2021-02,15247.2,589,7340,23267,12238,20698,21446,13464
